tür;kalem;toplam adet;tanım / ürün;not / kaynak
SATIN ALMA;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;"6ES7214-1AG40-0XB0 · 4 PTO ekseni (7 sürücü enable ile paylaşır; aynı anda en çok 3 eksen döner)";110 × 100 × 75
SATIN ALMA;Pizza kutusu 32 × 32 × 4,2 E-dalga (düz açılım 804 × 404);567;yığın 908 mm = 567 adet @1,6 · 504 @1,8;AmbalajPazarı · 100'lü paket (sarf)
SATIN ALMA;Planet redüktör SureGear PGCN23-1025;2;10:1 · 5 N·m · NEMA 23;adcpn.com/pn/PGCN23-1025 · TraceParts STEP
SATIN ALMA;Siemens SM1221 DI16;1;6ES7221-1BH32-0XB0;45 × 100 × 75
SATIN ALMA;Siemens SM1222 DQ16;1;6ES7222-1BH32-0XB0 · yön + enable;45 × 100 × 75
SATIN ALMA;Step motor AutomationDirect SureStep STP-MTR-23079;7;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP
SATIN ALMA;Step sürücü AutomationDirect SureStep STP-DRV-4830;7;3 A/faz · 12–48 VDC · adım/yön;automationdirect.com · TraceParts STEP
SATIN ALMA;Trapez vida Tr16×4 (DIN 103) + bronz blok somun;1;boy 975 + Ø12 alt uç 42 (tabandan geçer, kasnağı taşır) · kendinden kilitli (η≈0,35): güç kesilince yığın düşmez;katalog
SATIN ALMA;UHMW-PE şerit 3 mm (şarjör kılavuzu);3;sol + sağ + arka;levha
ÜRETİM;Besleyici plakası 6082 · 5 mm;1;621 × 461;üretim
ÜRETİM;Devirme parmağı 304 · 8 mm;1;R 72 · 140° döner;üretim
ÜRETİM;Flap katlayıcı U çerçeve 304 · 3 mm;1;37,6 mm kalkar: kapağın 3 flapını 90° kaldırır;üretim
ÜRETİM;Kalıp rayı 304 · 6 mm;1;arka yan duvarı kaldırır;üretim
ÜRETİM;Kalıp tarağı 304 · 6 mm (4 diş);1;ön yan duvarı tutar · dişleri arasından robot çatalı geçer;üretim
ÜRETİM;Kalıp ön rayı 304 · 4,5 mm;1;ön duvar 20 mm geç kalkar (köşe tırnakları önce döner);üretim
ÜRETİM;Kapak kolu 304 + makara Ø20 (POM);1;R 166 · kapağı 85° dik tutar, 100° yatırır;üretim
ÜRETİM;Kapak masası 304 · 3 mm;1;264 × 312 · kol yarığı;üretim
ÜRETİM;Kayış koruyucu 1 mm;1;304 büküm · tabanın altına 4 × M4 · kasnaklar ve kayış kapalı, motor alttan geçer;v3: sabit koruyucu
ÜRETİM;Köprü sacı 304 · 3 mm;1;pizza yolu · katlamada 30 mm aşağıda;üretim
ÜRETİM;Motor askı plakası 3 mm;1;304 lazer + 2 büküm · tabanın altına 4 × M5 · NEMA 23 flanşı 4 × M5;v3: tahrik tabanın altında
ÜRETİM;Piston kafası 6082 · 296 × 296 × 20 · ön alt kenar 6 mm pah;1;tabana basar, iç paneli kilitler, kapağı bastırır;üretim
ÜRETİM;agiz ust kirisi;1;304 / S235 · lazer / torna;zarf 827.0 × 15.0 × 20.0
ÜRETİM;arka sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 830.0 × 1907.0 × 1.5
ÜRETİM;asansor arabasi;1;304 / S235 · lazer / torna;zarf 500.0 × 130.0 × 4.0
ÜRETİM;asansor catali 0;1;304 / S235 · lazer / torna;zarf 30.0 × 8.0 × 413.0
ÜRETİM;asansor catali 1;1;304 / S235 · lazer / torna;zarf 30.0 × 8.0 × 413.0
ÜRETİM;asansor catali 2;1;304 / S235 · lazer / torna;zarf 30.0 × 8.0 × 413.0
ÜRETİM;asansor platformu;1;alüminyum 6082 · CNC;zarf 804.0 × 3.0 × 404.0
ÜRETİM;asansor ray plakasi;1;304 sac · lazer + büküm;zarf 400.0 × 990.0 × 4.0
ÜRETİM;asansor somunu;1;304 / S235 · lazer / torna;zarf 30.0 × 45.1 × 26.0
ÜRETİM;besleyici avara mili;1;304 / S235 · lazer / torna;zarf 40.1 × 8.1 × 8.0
ÜRETİM;besleyici avara yatagi;1;alüminyum 6082 · CNC;zarf 21.0 × 36.0 × 21.0
ÜRETİM;besleyici motor braketi;1;alüminyum 6082 · CNC;zarf 4.3 × 60.0 × 62.0
ÜRETİM;besleyici motor rafi;1;alüminyum 6082 · CNC;zarf 90.5 × 6.0 × 62.0
ÜRETİM;besleyici plaka askisi 0;1;alüminyum 6082 · CNC;zarf 20.0 × 523.5 × 20.0
ÜRETİM;besleyici plaka askisi 1;1;alüminyum 6082 · CNC;zarf 20.0 × 523.5 × 20.0
ÜRETİM;flap katlayici alt bagi;1;alüminyum 6082 · CNC;zarf 15.1 × 54.2 × 324.2
ÜRETİM;flap katlayici braket ayagi;1;alüminyum 6082 · CNC;zarf 10.0 × 132.0 × 60.0
ÜRETİM;flap katlayici motor braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 6.3 × 60.0
ÜRETİM;flap katlayici somun kolu;1;alüminyum 6082 · CNC;zarf 33.4 × 10.1 × 60.0
ÜRETİM;flap katlayici yatak braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 8.1 × 60.0
ÜRETİM;itici araba plakasi sag;1;alüminyum 6082 · CNC;zarf 95.0 × 6.0 × 76.0
ÜRETİM;itici araba plakasi sol;1;alüminyum 6082 · CNC;zarf 38.0 × 6.0 × 64.0
ÜRETİM;itici asma plakasi 0;1;alüminyum 6082 · CNC;zarf 40.0 × 289.8 × 8.0
ÜRETİM;itici asma plakasi 1;1;alüminyum 6082 · CNC;zarf 40.0 × 289.8 × 8.0
ÜRETİM;itici kayis cenesi;1;304 / S235 · lazer / torna;zarf 15.0 × 9.2 × 20.0
ÜRETİM;itici kayis kulagi;1;304 / S235 · lazer / torna;zarf 3.0 × 33.0 × 20.0
ÜRETİM;itici kirisi 40x20;1;alüminyum 6082 · CNC;zarf 800.0 × 20.0 × 6.5
ÜRETİM;kalip arka x dayagi;1;304 sac · lazer + büküm;zarf 6.0 × 26.0 × 320.0
ÜRETİM;kalip tablasi 6;1;304 sac · lazer + büküm;zarf 340.0 × 6.0 × 340.5
ÜRETİM;kapak alt plaka ayagi 0;1;alüminyum 6082 · CNC;zarf 20.0 × 868.0 × 20.0
ÜRETİM;kapak alt plaka ayagi 1;1;alüminyum 6082 · CNC;zarf 20.0 × 868.0 × 20.0
ÜRETİM;kapak alt plakasi;1;alüminyum 6082 · CNC;zarf 360.0 × 6.2 × 342.0
ÜRETİM;kapak kolu mili;1;304 / S235 · lazer / torna;zarf 12.1 × 12.0 × 82.1
ÜRETİM;kapak masasi diregi 0;1;304 / S235 · lazer / torna;zarf 16.1 × 145.1 × 16.0
ÜRETİM;kapak masasi diregi 1;1;304 / S235 · lazer / torna;zarf 16.1 × 145.1 × 16.0
ÜRETİM;kilavuz arka tasiyici;1;304 sac · lazer + büküm;zarf 724.0 × 896.0 × 6.0
ÜRETİM;kilavuz sag tasiyici;1;304 sac · lazer + büküm;zarf 13.0 × 908.0 × 20.0
ÜRETİM;kilavuz sol tasiyici;1;304 sac · lazer + büküm;zarf 3.0 × 908.0 × 20.0
ÜRETİM;kol reduktor braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 51.0 × 10.0
ÜRETİM;kol yatak ayagi 0;1;alüminyum 6082 · CNC;zarf 36.0 × 62.0 × 10.0
ÜRETİM;kol yatak ayagi 1;1;alüminyum 6082 · CNC;zarf 36.0 × 62.0 × 10.0
ÜRETİM;kopru burc plakasi;1;alüminyum 6082 · CNC;zarf 54.0 × 6.1 × 280.0
ÜRETİM;kopru burcu 0;1;304 / S235 · lazer / torna;zarf 21.2 × 30.2 × 21.0
ÜRETİM;kopru burcu 1;1;304 / S235 · lazer / torna;zarf 21.2 × 30.2 × 21.0
ÜRETİM;kopru motor askisi;1;alüminyum 6082 · CNC;zarf 14.5 × 47.5 × 60.0
ÜRETİM;kopru motor braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 6.3 × 60.0
ÜRETİM;kopru plaka tutucu;1;alüminyum 6082 · CNC;zarf 14.5 × 21.0 × 280.0
ÜRETİM;kopru tasiyici;1;alüminyum 6082 · CNC;zarf 34.0 × 36.6 × 80.0
ÜRETİM;kose dikme on 0;1;304 / S235 · lazer / torna;zarf 20.0 × 959.0 × 20.0
ÜRETİM;kose dikme on 1;1;304 / S235 · lazer / torna;zarf 20.0 × 959.0 × 20.0
ÜRETİM;on alt sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 827.0 × 959.0 × 1.5
ÜRETİM;on ust kapak;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 827.0 × 683.5 × 1.5
ÜRETİM;on ust kapak kulp;1;304 / S235 · lazer / torna;zarf 70.0 × 18.0 × 18.0
ÜRETİM;pano plakasi;1;304 sac · lazer + büküm;zarf 720.0 × 460.0 × 4.0
ÜRETİM;parmak mili;1;304 / S235 · lazer / torna;zarf 12.1 × 12.0 × 75.1
ÜRETİM;parmak red braketi;1;alüminyum 6082 · CNC;zarf 58.0 × 211.0 × 7.0
ÜRETİM;parmak yatak askisi;1;alüminyum 6082 · CNC;zarf 32.0 × 224.0 × 50.0
ÜRETİM;parmak yatak kolu on;1;alüminyum 6082 · CNC;zarf 32.0 × 10.0 × 16.0
ÜRETİM;piston BK askisi 0;1;alüminyum 6082 · CNC;zarf 60.0 × 38.0 × 6.0
ÜRETİM;piston BK askisi 1;1;alüminyum 6082 · CNC;zarf 60.0 × 38.0 × 6.0
ÜRETİM;piston baglanti plakasi;1;alüminyum 6082 · CNC;zarf 200.0 × 515.0 × 10.0
ÜRETİM;piston eksen askisi;1;alüminyum 6082 · CNC;zarf 200.0 × 13.5 × 14.0
ÜRETİM;piston eksen plakasi;1;alüminyum 6082 · CNC;zarf 200.0 × 515.0 × 5.0
ÜRETİM;piston kaburgasi 0;1;alüminyum 6082 · CNC;zarf 8.0 × 50.0 × 286.0
ÜRETİM;piston kaburgasi 1;1;alüminyum 6082 · CNC;zarf 8.0 × 50.0 × 286.0
ÜRETİM;piston motor askisi 0;1;alüminyum 6082 · CNC;zarf 8.0 × 34.5 × 14.0
ÜRETİM;piston motor askisi 1;1;alüminyum 6082 · CNC;zarf 8.0 × 34.5 × 14.0
ÜRETİM;piston motor braketi;1;alüminyum 6082 · CNC;zarf 64.0 × 4.3 × 64.0
ÜRETİM;piston somun braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 10.2 × 52.0
ÜRETİM;plint on;1;304 sac · lazer + büküm;zarf 750.0 × 113.0 × 1.5
ÜRETİM;sag sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 1.5 × 1905.5 × 828.5
ÜRETİM;sarjor kapi esigi;1;304 sac · lazer + büküm;zarf 804.0 × 904.8 × 3.0
ÜRETİM;sarjor yan kapisi;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 1.5 × 920.0 × 406.0
ÜRETİM;sarjor yan kapisi kulp;1;304 / S235 · lazer / torna;zarf 22.0 × 120.0 × 15.0
ÜRETİM;sol sac pizza penceresi;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 1.5 × 1905.5 × 828.5
ÜRETİM;taban sac 3;1;304 sac · lazer + büküm;zarf 827.0 × 3.1 × 827.0
ÜRETİM;tepsi ayagi 0;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0
ÜRETİM;tepsi ayagi 1;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0
ÜRETİM;tepsi ayagi 2;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0
ÜRETİM;tepsi ayagi 3;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0
ÜRETİM;tepsi cubugu 0;1;304 sac · lazer + büküm;zarf 55.0 × 8.0 × 320.0
ÜRETİM;tepsi cubugu 1;1;304 sac · lazer + büküm;zarf 60.0 × 8.0 × 320.0
ÜRETİM;tepsi cubugu 2;1;304 sac · lazer + büküm;zarf 60.0 × 8.0 × 320.0
ÜRETİM;tepsi cubugu 3;1;304 sac · lazer + büküm;zarf 55.0 × 8.0 × 320.0
ÜRETİM;ust sac;1;304 sac 1,5 · lazer + büküm (dış kabuk);zarf 830.0 × 1.5 × 828.5
ÜRETİM;İtici çubuk 304 · 800 × 6,5 × 6;1;alt kenarı 1150,2: yalnız EN ÜSTTEKİ blankı yakalar (1149,6–1151,2);üretim
