parça (model adı);kalem;adet;tanım / ürün;not / kaynak;tür
ust_kapi_PC_pencere;Polikarbonat 4 mm (gıdaya uygun, şeffaf);1;480 × 810;kesim;SATIN ALMA
ust_kapi_kulp;ust kapi kulp;0;;aynı kalemin eşi ya da üretim parçası · zarf 20 × 140 × 22;ALT
kapi_kilidi_AZM;Kapı kilitli emniyet anahtarı Schmersal AZM 40 sınıfı;1;kapı açılınca kesici + itici durur;[V] schmersal.com;SATIN ALMA
acil_stop;Acil stop butonu Ø40 (IEC 60947-5-5);1;ön yüzde;[V];SATIN ALMA
bant_yan_levhasi_0;Bant yan levhası 3 mm AISI 304 (lazer + büküm);2;580 × 62;üretim;ÜRETİM
bant_yan_levhasi_1;bant yan levhasi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 580 × 62 × 3;ALT
kayma_tablasi_6;Kayma tablası 6 mm AISI 304 (kesim yükünü taşır);1;483 × 396;üretim;ÜRETİM
tabla_kirisi_0;Kutu profil 40 × 20 × 2 AISI 304;2;boy 404;üretim;ÜRETİM
tabla_kirisi_1;tabla kirisi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 20 × 404;ALT
bant_ayagi_0;Bant ayağı 30 × 24 lama;4;;üretim;ÜRETİM
bant_ayagi_1;bant ayagi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 37 × 24;ALT
bant_ayagi_2;bant ayagi 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 37 × 24;ALT
bant_ayagi_3;bant ayagi 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 37 × 24;ALT
tahrik_rulosu_RollerDrive_EC5000;Interroll RollerDrive EC5000 AI 24 V Ø50 (motor rulonun içinde, IP66);1;boy 404 · kaplamalı;interroll.com EC5000 [V: kaplama + IP teyidi];SATIN ALMA
tahrik_rulosu_mili;tahrik rulosu mili;0;;aynı kalemin eşi ya da üretim parçası · zarf 12 × 12 × 410;ALT
kuyruk_rulosu;Avara rulo Ø30 paslanmaz (gergi cıvatalı);1;boy 404;[V] katalog;SATIN ALMA
kuyruk_rulosu_mili;kuyruk rulosu mili;0;;aynı kalemin eşi ya da üretim parçası · zarf 8 × 8 × 410;ALT
bant_gergi_civatasi_0;bant gergi civatasi 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 6 × 6;ALT
bant_gergi_civatasi_1;bant gergi civatasi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 6 × 6;ALT
bant_PU_2mm;Gıda PU bant 2 mm homojen, beyaz (FDA / EU 10-2011), sonsuz birleştirilmiş;1;400 × ≈1150;[V] Ammeraal / Habasit sınıfı · kesim yüzeyi;SATIN ALMA
olu_plaka;olu plaka;0;;aynı kalemin eşi ya da üretim parçası · zarf 10 × 6 × 350;ALT
cit_20_derece;Kılavuz çit: 304 lama 3 mm + UHMW yüz (gıda);1;20° + düz · 20 yüksek;üretim;ÜRETİM
cit_braketi_0;cit braketi 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 16 × 28 × 36;ALT
cit_braketi_1;cit braketi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 16 × 28 × 49;ALT
kopru_kirisi_0;Kare profil 40 × 40 × 2 AISI 304 (köprü);2;boy 595;üretim;ÜRETİM
kopru_kirisi_1;kopru kirisi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 595 × 40 × 40;ALT
silindir_baglanti_plakasi;silindir baglanti plakasi;0;;aynı kalemin eşi ya da üretim parçası · zarf 170 × 10 × 210;ALT
DGRF-C-63-125_govde;Kılavuzlu silindir Festo DGRF-C-63-125 (Clean Design, paslanmaz kılavuz milleri);1;Ø63 · strok 125 · 6 bar'da 1870 N itme;festo DGRF-C veri sayfası (almotion.nl) · gövde ölçüsü [V];SATIN ALMA
DGRF_hava_rakoru_0;DGRF hava rakoru 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 12 × 10 × 10;ALT
DGRF_hava_rakoru_1;DGRF hava rakoru 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 12 × 10 × 10;ALT
DGRF_piston_mili;DGRF piston mili;0;;aynı kalemin eşi ya da üretim parçası · zarf 20 × 160 × 20;ALT
DGRF_kilavuz_mili_0;DGRF kilavuz mili 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 20 × 295 × 20;ALT
DGRF_kilavuz_mili_1;DGRF kilavuz mili 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 20 × 295 × 20;ALT
DGRF_on_plaka;DGRF on plaka;0;;aynı kalemin eşi ya da üretim parçası · zarf 170 × 15 × 120;ALT
ara_dikme_0;Ara dikme Ø16 × 50 paslanmaz (M8);3;;üretim;ÜRETİM
ara_dikme_1;ara dikme 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 16 × 50 × 16;ALT
ara_dikme_2;ara dikme 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 16 × 50 × 16;ALT
kafa_plakasi_8;Kafa plakası Ø230 × 8 AISI 304;1;;lazer + CNC;ÜRETİM
bicak_gobek_halkasi;bicak gobek halkasi;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 12 × 40;ALT
bicak_0;Yıldız bıçak seti 6 dilim Ø296 (sertleştirilmiş paslanmaz, bulaşık makinesinde yıkanır);1;6 × 133 × 45 × 1,5 · göbek Ø40;Q-T-S PC1018 / PC5000 bıçak seti sınıfı (q-t-s.com) [V: ölçü bize göre];ÜRETİM
bicak_1;bicak 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 68 × 45 × 116;ALT
bicak_2;bicak 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 68 × 45 × 116;ALT
bicak_3;bicak 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 133 × 45 × 2;ALT
bicak_4;bicak 4;0;;aynı kalemin eşi ya da üretim parçası · zarf 68 × 45 × 116;ALT
bicak_5;bicak 5;0;;aynı kalemin eşi ya da üretim parçası · zarf 68 × 45 × 116;ALT
koruma_braketi_0;koruma braketi 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 48 × 8 × 34;ALT
koruma_braketi_1;koruma braketi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 12 × 8 × 48;ALT
koruma_braketi_2;koruma braketi 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 48 × 8 × 34;ALT
koruma_braketi_3;koruma braketi 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 48 × 8 × 34;ALT
koruma_braketi_4;koruma braketi 4;0;;aynı kalemin eşi ya da üretim parçası · zarf 12 × 8 × 48;ALT
koruma_braketi_5;koruma braketi 5;0;;aynı kalemin eşi ya da üretim parçası · zarf 48 × 8 × 34;ALT
bicak_koruma_halkasi;Bıçak koruma + sprey perdesi halkası Ø316 × 37 (1,5 mm 304);1;;üretim;ÜRETİM
kelebek_somun_0;Kelebek somun M8 paslanmaz (bıçak seti aletsiz sökülür);3;DIN 315;katalog;SATIN ALMA
kelebek_somun_1;kelebek somun 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 18 × 14 × 18;ALT
kelebek_somun_2;kelebek somun 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 18 × 14 × 18;ALT
PulsaJet_AA10000AUH_104210;Elektrikli sprey nozülü Spraying Systems PulsaJet AA10000AUH-104210 (gıda: FDA + EC 1935/2004);1;24 VDC 0,36 A · PWM · sıvı ≤ 93 °C · 7 bar;spray.com katalog 76A · vaka E4058 (tereyağı) · gövde ölçüsü [V];SATIN ALMA
PulsaJet_isitici_ceket;Silikon ısıtıcı ceket 24 V 20 W + termostat (nozülde tereyağı donmasın);1;45 °C;[V];SATIN ALMA
sprey_dirsegi;sprey dirsegi;0;;aynı kalemin eşi ya da üretim parçası · zarf 14 × 33 × 14;ALT
UniJet_nozul_govdesi_TG;Nozül gövdesi UniJet + TG tam koni uç 90° (çek valfli: damlatmaz);1;yıldızın göbeğinde, pideden 150 mm;portal.spray.com TG · uç uyumu Spraying Systems'e teyit [V];SATIN ALMA
sprey_ucu_TG;sprey ucu TG;0;;aynı kalemin eşi ya da üretim parçası · zarf 14 × 6 × 14;ALT
isitmali_hortum_kafa;isitmali hortum kafa;0;;aynı kalemin eşi ya da üretim parçası · zarf 40 × 80 × 11;ALT
yag_tanki_3L;Isıtmalı basınçlı tereyağı tankı 3 L AISI 316 (ceketli, kapaklı, seviye sensörlü);1;Ø160 × 280 · 1,5 bar hava · 45 °C;[V] Spraying Systems basınçlı tank sınıfı · 2 gün = 1,41 L (hesap);SATIN ALMA
yag_tanki_isitici_ceketi;Tank ısıtıcı ceketi 100 W + PT100;1;"45 °C (32–35 °C'de tamamen sıvı; aşırı ısıda yağ ayrışır)";[V] · vaka E4058 uyarısı;SATIN ALMA
yag_tanki_kapagi;yag tanki kapagi;0;;aynı kalemin eşi ya da üretim parçası · zarf 177 × 15 × 176;ALT
yag_tanki_kelepcesi;yag tanki kelepcesi;0;;aynı kalemin eşi ya da üretim parçası · zarf 181 × 11 × 180;ALT
yag_regulatoru_manometre;Hava regülatörü + manometre 0–4 bar (tank basıncı);1;;[V] Festo MS2-LR sınıfı;SATIN ALMA
yag_seviye_sensoru;Seviye sensörü (kapasitif, gıda);1;2 gün kala uyarır;[V];SATIN ALMA
yag_tanki_rafi;yag tanki rafi;0;;aynı kalemin eşi ya da üretim parçası · zarf 250 × 5 × 320;ALT
isitmali_hortum_Ø6;Isıtmalı gıda hortumu Ø6 iç · 24 V · 45 °C;1;≈ 2,6 m · kafaya yaylı sarımla;[V];SATIN ALMA
hava_hortumu_tank;hava hortumu tank;0;;aynı kalemin eşi ya da üretim parçası · zarf 51 × 13 × 221;ALT
ZLW-1040_eksen_profili;Dişli kayışlı lineer eksen igus drylin ZLW-1040 (yağsız, gıdaya yakın);1;strok 365 · profil 575;igus.com ZLW-1040 [V: ölçüler katalogdan teyit];SATIN ALMA
ZLW_uc_blogu_0;ZLW uc blogu 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 55 × 58 × 50;ALT
ZLW_uc_blogu_1;ZLW uc blogu 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 55 × 58 × 50;ALT
itici_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
eksen_ayagi_0;eksen ayagi 0;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 37 × 30;ALT
eksen_ayagi_1;eksen ayagi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 30 × 37 × 30;ALT
itici_home_sensoru;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
ZLW_araba;ZLW araba;0;;aynı kalemin eşi ya da üretim parçası · zarf 100 × 27 × 54;ALT
kaldirma_braketi;kaldirma braketi;0;;aynı kalemin eşi ya da üretim parçası · zarf 60 × 125 × 12;ALT
MGPM20-60_govde;Kılavuzlu kompakt silindir SMC MGPM20-60Z;1;Ø20 · strok 60 · itici kaldırma;smcworld MGP [V: gövde ölçüsü];SATIN ALMA
kaldirma_kizagi;kaldirma kizagi;0;;aynı kalemin eşi ya da üretim parçası · zarf 60 × 45 × 12;ALT
itici_kolu_x;itici kolu x;0;;aynı kalemin eşi ya da üretim parçası · zarf 70 × 15 × 12;ALT
itici_kolu_z;itici kolu z;0;;aynı kalemin eşi ya da üretim parçası · zarf 10 × 15 × 229;ALT
itme_cubugu;itme cubugu;0;;aynı kalemin eşi ya da üretim parçası · zarf 118 × 20 × 30;ALT
itici_celik_plaka;itici celik plaka;0;;aynı kalemin eşi ya da üretim parçası · zarf 6 × 45 × 260;ALT
itici_POM_yuz;İtici yüzü POM-C 10 mm (gıda, ≤ 90 °C sürekli);1;260 × 45;Ensinger TECAFORM AH veri sayfası;ÜRETİM
pano_plakasi;pano plakasi;0;;aynı kalemin eşi ya da üretim parçası · zarf 265 × 385 × 4;ALT
din_rayi_0;DIN ray 35 × 7,5;2;boy 255;EN 60715;SATIN ALMA
din_rayi_1;din rayi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 255 × 35 × 7;ALT
plc_S7-1200_1214C;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;6ES7214-1AG40-0XB0 · bant, kesici, itici, sprey;110 × 100 × 75;SATIN ALMA
plc_SM1222_DQ16;Siemens SM1222 DQ16;1;6ES7222-1BH32-0XB0;45 × 100 × 75;SATIN ALMA
emniyet_rolesi_PNOZ;Emniyet rölesi Pilz PNOZ s3;1;kapı kilidi + acil stop;[V] pilz.com;SATIN ALMA
PWMD_sprey_suruculu;PulsaJet PWM sürücüsü (tek nozül);1;PLC'den tetik · doz = süre × debi;[V] Spraying Systems PWMD;SATIN ALMA
sicaklik_kontrol_2;Sıcaklık kontrolcüsü DIN (tank + hortum + nozül);2;PT100 · 45 °C;[V];SATIN ALMA
guc_24V_NDR-240-24;Güç kaynağı Mean Well NDR-240-24;1;24 V 10 A · PLC, RollerDrive, sensör, ısıtıcılar;TraceParts STEP;SATIN ALMA
surucu_STP-DRV-4830;Step sürücü AutomationDirect SureStep STP-DRV-4830;1;itici ekseni;automationdirect.com · TraceParts STEP;SATIN ALMA
guc_48V_NDR-240-48;Güç kaynağı Mean Well NDR-240-48;1;48 V · step sürücü;NDR-240 gövdesi;SATIN ALMA
klemens_sirasi;Klemens sırası Phoenix UT 2,5;24;;phoenixcontact.com;SATIN ALMA
kablo_kanali_0;Kablo kanalı 40 × 25;3;;katalog;SATIN ALMA
kablo_kanali_dikey;kablo kanali dikey;0;;aynı kalemin eşi ya da üretim parçası · zarf 25 × 932 × 25;ALT
sartlandirici_MS4;Şartlandırıcı Festo MS4-LFR (filtre + regülatör + manometre);1;6 bar;[V] festo.com MS4;SATIN ALMA
valf_adasi_VUVG_4;Valf adası Festo VUVG-L10 · 4 × 5/2 (kesici · itici kaldırma · tank basıncı · yedek);1;24 V;[V] festo.com VUVG;SATIN ALMA
hava_besleme_K;PU hava hortumu Ø10 · kompresör hattından T ile;1;≈ 1 m;katalog;SATIN ALMA
hava_hortumu_kesici;hava hortumu kesici;0;;aynı kalemin eşi ya da üretim parçası · zarf 26 × 349 × 646;ALT
hava_hortumu_kaldirma;hava hortumu kaldirma;0;;aynı kalemin eşi ya da üretim parçası · zarf 6 × 403 × 298;ALT
sensor_urun_merkezde;Fotosel Omron E3Z-D62 (dağınık yansımalı);2;ürün merkezde · bant sonu;omron.com E3Z;SATIN ALMA
sensor_bant_sonu;sensor bant sonu;0;;aynı kalemin eşi ya da üretim parçası · zarf 31 × 11 × 18;ALT
kesici_reed_0;Silindir sensörü Festo SMT-8M (üst / alt);2;;[V] festo.com;SATIN ALMA
kesici_reed_1;kesici reed 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 8 × 20 × 20;ALT
icecek_kolisi_0;İçecek kolisi 24 × 330 ml (soğutmasız yedek);5;400 × 267 × 123;[V] koli ölçüsü;SATIN ALMA
icecek_kolisi_1;icecek kolisi 1;0;;aynı kalemin eşi ya da üretim parçası · zarf 400 × 122 × 267;ALT
icecek_kolisi_2;icecek kolisi 2;0;;aynı kalemin eşi ya da üretim parçası · zarf 400 × 122 × 267;ALT
icecek_kolisi_3;icecek kolisi 3;0;;aynı kalemin eşi ya da üretim parçası · zarf 400 × 122 × 267;ALT
icecek_kolisi_4;icecek kolisi 4;0;;aynı kalemin eşi ya da üretim parçası · zarf 400 × 122 × 267;ALT
icecek_rafi_ayirici;icecek rafi ayirici;0;;aynı kalemin eşi ya da üretim parçası · zarf 3 × 634 × 290;ALT
