parça (model adı);kalem;adet;tanım / ürün;not / ölçü;birim;tür
kablo_kanali_K1;Kablo kanalı 40 × 25;4;PVC perfore + kapak;dikey her kolonda + üstte yatay;B_KABLO;SATIN ALMA
kablo_kanali_K2;kablo kanali K2;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
kablo_kanali_K3;kablo kanali K3;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
kablo_kanali_ust;kablo kanali ust;0;PVC;alt gövde → kablo kanalı;B_KABLO;ALT
evaporator_K1;Evaporatör roll-bond levha;3;alüminyum 1,5 + kanal · ölçüye üretim;arka duvara yapışık · 310 × 530..650;B_SOGUTMA;ÜRETİM
fan_K1;Fan ebm-papst 4414 FNH;3;24 V · 119 × 119 × 25;evaporatör önünde, havayı kolon içine basar;B_SOGUTMA;SATIN ALMA
evaporator_K2;evaporator K2;0;alüminyum;alt gövde → roll-bond evaporatör;B_SOGUTMA;ALT
fan_K2;fan K2;0;;alt gövde → ebm-papst 4414 FNH;B_SOGUTMA;ALT
evaporator_K3;evaporator K3;0;alüminyum;alt gövde → roll-bond evaporatör;B_SOGUTMA;ALT
fan_K3;fan K3;0;;alt gövde → ebm-papst 4414 FNH;B_SOGUTMA;ALT
sogutma_grubu_taban;Yoğuşturucu ünite Secop CU KLF4.0CND R290;1;314H6008 · 335 W @ −10/25 °C · 1/6 HP · 15,2 kg;272 × 350 × 450 · secop.com datasheet;B_SOGUTMA;SATIN ALMA
sogutma_grubu_kondenser;sogutma grubu kondenser;0;;alt gövde → Secop CU KLF4.0CND;B_SOGUTMA;ALT
sogutma_grubu_fan;sogutma grubu fan;0;;alt gövde → Secop CU KLF4.0CND;B_SOGUTMA;ALT
sogutma_grubu_kompresor;sogutma grubu kompresor;0;;alt gövde → Secop CU KLF4.0CND;B_SOGUTMA;ALT
k4_ara_sac_alt;k4 ara sac alt;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0;B_SOGUTMA;ÜRETİM
k4_ara_pu;k4 ara pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → PU köpük gövde;B_SOGUTMA;ALT
k4_ara_sac_ust;k4 ara sac ust;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0;B_SOGUTMA;ÜRETİM
k4_depo_GN11_0;GN 1/1-150 kap;2;304 · EN 631;kaşar blok / sucuk (içerik VARSAYIM);B_DEPO;SATIN ALMA
k4_depo_GN11_1;k4 depo GN11;0;304 sac · lazer + büküm;alt gövde → GN 1/1;B_DEPO;ALT
k4_depo_raf;k4 depo raf;1;304 sac · lazer + büküm;zarf 400.0 × 1.5 × 734.0;B_DEPO;ÜRETİM
k4_nis_raf;k4 nis raf;1;304 sac · lazer + büküm;zarf 400.0 × 1.5 × 734.0;B_TEMIZLIK;ÜRETİM
bidon_5L_0;Temizlik bidonu 5 L;2;deterjan / dezenfektan;;B_TEMIZLIK;SATIN ALMA
bidon_5L_1;bidon 5L;0;;alt gövde → bidon;B_TEMIZLIK;ALT
k4_kapak_sogutma_dis_sac;Yoğuşturucu bölmesi kapağı;1;304 1,5 · yalıtımsız · ızgaralı hava penceresi;hava önden girer, tabandan plinte çıkar;B_SOGUTMA;ÜRETİM
k4_kapak_depo_dis_sac_1.5;k4 kapak depo dis sac 1.5;1;304 sac · lazer + büküm;zarf 430.0 × 316.0 × 40.0;B_DEPO;ÜRETİM
k4_kapak_depo_pu;k4 kapak depo pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → kapak katmanı;B_DEPO;ALT
k4_kapak_depo_ic_sac_1.0;k4 kapak depo ic sac 1.0;0;304 sac · lazer + büküm;alt gövde → kapak katmanı;B_DEPO;ALT
k4_kapak_depo_fitil;Fitil · geçmeli manyetik profil 21 × 18,5;1;PVC + şerit mıknatıs · kapak iç sacının 6,4'lük kanalına geçer · aletsiz sökülür;çevre 1404 mm · köşeler gönye kaynaklı;B_DEPO;SATIN ALMA
k4_kapak_nis_dis_sac_1.5;k4 kapak nis dis sac 1.5;1;304 sac · lazer + büküm;zarf 430.0 × 254.5 × 40.0;B_TEMIZLIK;ÜRETİM
k4_kapak_nis_pu;k4 kapak nis pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → kapak katmanı;B_TEMIZLIK;ALT
k4_kapak_nis_ic_sac_1.0;k4 kapak nis ic sac 1.0;0;304 sac · lazer + büküm;alt gövde → kapak katmanı;B_TEMIZLIK;ALT
k4_kapak_nis_fitil;Fitil · geçmeli manyetik profil 21 × 18,5;1;PVC + şerit mıknatıs · kapak iç sacının 6,4'lük kanalına geçer · aletsiz sökülür;çevre 1281 mm · köşeler gönye kaynaklı;B_TEMIZLIK;SATIN ALMA
k4_izgara_00;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_01;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_02;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_03;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_04;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_05;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_06;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_07;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_08;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_09;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_10;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k4_izgara_11;k4 izgara;1;304 lama;zarf 360.0 × 8.0 × 1.5;B_SOGUTMA;ÜRETİM
k1_teknik_kapak_dis_sac_1.5;k1 teknik kapak dis sac 1.5;1;304 sac · lazer + büküm;zarf 650.0 × 181.5 × 40.0;B_ELEKTRIK;ÜRETİM
k1_teknik_kapak_pu;k1 teknik kapak pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → kapak katmanı;B_ELEKTRIK;ALT
k1_teknik_kapak_ic_sac_1.0;k1 teknik kapak ic sac 1.0;0;304 sac · lazer + büküm;alt gövde → kapak katmanı;B_ELEKTRIK;ALT
k2_ust_panel_dis_sac_1.5;k2 ust panel dis sac 1.5;1;304 sac · lazer + büküm;zarf 650.0 × 55.5 × 40.0;B_KASA;ÜRETİM
k2_ust_panel_pu;k2 ust panel pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → kapak katmanı;B_KASA;ALT
k2_ust_panel_ic_sac_1.0;k2 ust panel ic sac 1.0;0;304 sac · lazer + büküm;alt gövde → kapak katmanı;B_KASA;ALT
on_cerceve_saci_1.0;Ön çerçeve sacı 1,0;1;304 lazer kesim · 25 açıklık;fitil buna basar;B_KASA;ÜRETİM
CEK_K1_hamur_1_on_dis_sac_1.5;Çekmece önü 40 · kulpsuz;1;dış 304 1,5 bükme + PU 37,5 köpük + iç 304 1,0 (fitil kanallı);650 × 105;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_on_pu;on pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → çekmece önü / kapak katmanı;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_on_ic_sac_1.0;on ic sac 1.0;0;304 sac · lazer + büküm;alt gövde → çekmece önü / kapak katmanı;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_on_fitil;Fitil · geçmeli manyetik profil 21 × 18,5;1;PVC + şerit mıknatıs · kapak iç sacının 6,4'lük kanalına geçer · aletsiz sökülür;çevre 1422 mm · köşeler gönye kaynaklı;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_kutu_U_1.0;Çekmece kutusu U 1,0;1;304 lazer + 2 büküm;560 × 60 × 530;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_kutu_arka_1.0;kutu arka 1.0;0;304 sac · lazer + büküm;alt gövde → çekmece kutusu;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_kutu_on_1.0;kutu on 1.0;0;304 sac · lazer + büküm;alt gövde → çekmece kutusu;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_on_baglanti_sol;Ön bağlantı köşesi;2;304 2 mm büküm · öne 2 × M5 perçin somun;ön yüz ayar yuvalı;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_on_baglanti_sag;on baglanti;0;304 · lazer / lama;alt gövde → ön bağlantı köşesi;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_ray_adaptor_sol;Ray adaptör lamı 6 mm;2;304 lama · kutuya punta;ray iç profiline 4 × M4;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_ray_adaptor_sag;ray adaptor;0;304 · lazer / lama;alt gövde → ray adaptör lamı;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_ray_dis_sol;Teleskopik ray Accuride DZ3832-0070;2;700 · %100 açılır · 3 elemanlı · 45,7 × 12,7 · 45–50 kg (çift);dış eleman kolon yan duvarına 4 × M5;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_ray_ara_sol;ray ara;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (ara eleman);CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_ray_ic_sol;ray ic;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (iç eleman);CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_ray_dis_sag;ray dis;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_ray_ara_sag;ray ara;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (ara eleman);CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_ray_ic_sag;ray ic;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (iç eleman);CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_motor_kasnagi;GT3 kasnak 30 diş · 6 mm · flanşlı;1;alüminyum · delik Ø8 H7 + düz;PD 28,65 · çevre 90 mm;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_motor_mili;motor mili;0;304 · lazer / lama;alt gövde → Transmotec PD3665;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_motor_gobegi;motor gobegi;0;304 · lazer / lama;alt gövde → Transmotec PD3665;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_motor_reduktor;Motor Transmotec PD3665-24-51-BFEC;1;24 V · planet 51:1 · 127 d/dk · 0,853 N·m · manyetik enkoder · EMC filtreli;Ø36 × 115,5 + enkoder · datasheet: transmotec.com PD3665;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_motor_govde;motor govde;0;;alt gövde → Transmotec PD3665;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_enkoder_kapagi;enkoder kapagi;0;;alt gövde → Transmotec PD3665;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_m12_soket;M12 4 pin soket + kablo;1;motor + enkoder tek soket · kasada sabit;kablo dikey kanala;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_motor_braketi;Motor braketi 3 mm;1;304 lazer + büküm · 4 × M3 (Ø31) + arka duvara 2 × M5;kasnak hizası buradan;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_avara;GT3 avara 30 diş · 6 mm · çift rulman;1;alüminyum · 2 × 625-2RS;ön çerçevenin 17 mm arkası;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_avara_mili;avara mili;1;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_avara_kolu;Avara kolu 3 mm;1;304 büküm · ön çerçevenin arkasına 2 × M4 perçin somun;kayış gergisi burada: 8 mm yuvalı;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_kayis_GT3;Kayış GT3 6 mm kapalı çevrim;1;~1482 mm (494 diş) · çelik kordlu;tedarikçi boyu doğrulayacak;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_kayis_cenesi;Kayış çenesi + kolu;1;304 · kutunun yan duvarına kaynaklı · dişli çene 2 × M3;kutunun arkasından kasnağa uzanır (strok için);CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_miknatis_ayagi;miknatis ayagi;1;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_miknatis_57135;Mıknatıs Littelfuse 57135-000;1;AlNiCo 5 · flanşlı 28,57 × 19,05 × 6,35;çenenin üstünde;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_reed_kapali;Reed sensör Littelfuse 59135-010;2;NO · flanşlı 28,57 × 19,05 × 6,35;KAPALI + AÇIK konum · PLC girişine;CEK_K1_hamur_1;SATIN ALMA
CEK_K1_hamur_1_reed_acik;reed acik;0;;alt gövde → Littelfuse 59135;CEK_K1_hamur_1;ALT
CEK_K1_hamur_1_sensor_lami;sensor lami;1;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_1_tepsi;Tepsi · 20 çukur Ø100;1;gıda silikonu 10 mm · çukur 7 · kalıp döküm;530 × 520;CEK_K1_hamur_1;ÜRETİM
CEK_K1_hamur_2_on_dis_sac_1.5;Çekmece önü 40 · kulpsuz;1;dış 304 1,5 bükme + PU 37,5 köpük + iç 304 1,0 (fitil kanallı);650 × 105;CEK_K1_hamur_2;ÜRETİM
CEK_K1_hamur_2_on_pu;on pu;0;PU köpük (gövdeyle birlikte enjeksiyon);alt gövde → çekmece önü / kapak katmanı;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_on_ic_sac_1.0;on ic sac 1.0;0;304 sac · lazer + büküm;alt gövde → çekmece önü / kapak katmanı;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_on_fitil;Fitil · geçmeli manyetik profil 21 × 18,5;1;PVC + şerit mıknatıs · kapak iç sacının 6,4'lük kanalına geçer · aletsiz sökülür;çevre 1422 mm · köşeler gönye kaynaklı;CEK_K1_hamur_2;SATIN ALMA
CEK_K1_hamur_2_kutu_U_1.0;Çekmece kutusu U 1,0;1;304 lazer + 2 büküm;560 × 60 × 530;CEK_K1_hamur_2;ÜRETİM
CEK_K1_hamur_2_kutu_arka_1.0;kutu arka 1.0;0;304 sac · lazer + büküm;alt gövde → çekmece kutusu;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_kutu_on_1.0;kutu on 1.0;0;304 sac · lazer + büküm;alt gövde → çekmece kutusu;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_on_baglanti_sol;Ön bağlantı köşesi;2;304 2 mm büküm · öne 2 × M5 perçin somun;ön yüz ayar yuvalı;CEK_K1_hamur_2;ÜRETİM
CEK_K1_hamur_2_on_baglanti_sag;on baglanti;0;304 · lazer / lama;alt gövde → ön bağlantı köşesi;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_ray_adaptor_sol;Ray adaptör lamı 6 mm;2;304 lama · kutuya punta;ray iç profiline 4 × M4;CEK_K1_hamur_2;ÜRETİM
CEK_K1_hamur_2_ray_adaptor_sag;ray adaptor;0;304 · lazer / lama;alt gövde → ray adaptör lamı;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_ray_dis_sol;Teleskopik ray Accuride DZ3832-0070;2;700 · %100 açılır · 3 elemanlı · 45,7 × 12,7 · 45–50 kg (çift);dış eleman kolon yan duvarına 4 × M5;CEK_K1_hamur_2;SATIN ALMA
CEK_K1_hamur_2_ray_ara_sol;ray ara;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (ara eleman);CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_ray_ic_sol;ray ic;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (iç eleman);CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_ray_dis_sag;ray dis;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_ray_ara_sag;ray ara;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (ara eleman);CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_ray_ic_sag;ray ic;0;304 · lazer / lama;alt gövde → Accuride DZ3832-0070 (iç eleman);CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_motor_kasnagi;GT3 kasnak 30 diş · 6 mm · flanşlı;1;alüminyum · delik Ø8 H7 + düz;PD 28,65 · çevre 90 mm;CEK_K1_hamur_2;SATIN ALMA
CEK_K1_hamur_2_motor_mili;motor mili;0;304 · lazer / lama;alt gövde → Transmotec PD3665;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_motor_gobegi;motor gobegi;0;304 · lazer / lama;alt gövde → Transmotec PD3665;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_motor_reduktor;Motor Transmotec PD3665-24-51-BFEC;1;24 V · planet 51:1 · 127 d/dk · 0,853 N·m · manyetik enkoder · EMC filtreli;Ø36 × 115,5 + enkoder · datasheet: transmotec.com PD3665;CEK_K1_hamur_2;SATIN ALMA
CEK_K1_hamur_2_motor_govde;motor govde;0;;alt gövde → Transmotec PD3665;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_enkoder_kapagi;enkoder kapagi;0;;alt gövde → Transmotec PD3665;CEK_K1_hamur_2;ALT
CEK_K1_hamur_2_m12_soket;M12 4 pin soket + kablo;1;motor + enkoder tek soket · kasada sabit;kablo dikey kanala;CEK_K1_hamur_2;SATIN ALMA
CEK_K1_hamur_2_motor_braketi;Motor braketi 3 mm;1;304 lazer + büküm · 4 × M3 (Ø31) + arka duvara 2 × M5;kasnak hizası buradan;CEK_K1_hamur_2;ÜRETİM
CEK_K1_hamur_2_avara;GT3 avara 30 diş · 6 mm · çift rulman;1;alüminyum · 2 × 625-2RS;ön çerçevenin 17 mm arkası;CEK_K1_hamur_2;SATIN ALMA
CEK_K1_hamur_2_avara_mili;avara mili;1;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0;CEK_K1_hamur_2;ÜRETİM
