tür;kalem;toplam adet;tanım / ürün;not / ölçü
SATIN ALMA;Mıknatıs Littelfuse 57135-000;24;AlNiCo 5 · flanşlı 28,57 × 19,05 × 6,35;çenenin üstünde
SATIN ALMA;PLC Siemens S7-1200 CPU 1214C DC/DC/DC;1;6ES7214-1AG40-0XB0 · 14 DI · 10 DQ · PROFINET/Modbus TCP;110 × 100 × 75
SATIN ALMA;PLC genişleme SM1221 DI16;1;6ES7221-1BH32-0XB0;45 × 100 × 75 · 50 reed + 25 röle
SATIN ALMA;PLC genişleme SM1222 DQ16;1;6ES7222-1BH32-0XB0;45 × 100 × 75 · 50 reed + 25 röle
SATIN ALMA;Reed sensör Littelfuse 59135-010;48;NO · flanşlı 28,57 × 19,05 × 6,35;KAPALI + AÇIK konum · PLC girişine
SATIN ALMA;Seçici röle Phoenix Contact PLC-RSC-24DC/21;25;6,2 mm · 1 değiştirici · 24 V bobin;hangi çekmecenin motoru sürücüye bağlanacak [boyut VARSAYIM]
SATIN ALMA;Teleskopik ray Accuride DZ3832-0070;48;700 · %100 açılır · 3 elemanlı · 45,7 × 12,7 · 45–50 kg (çift);dış eleman kolon yan duvarına 4 × M5
SATIN ALMA;Yoğuşturucu ünite Secop CU KLF4.0CND R290;1;314H6008 · 335 W @ −10/25 °C · 1/6 HP · 15,2 kg;272 × 350 × 450 · secop.com datasheet
SATIN ALMA;Şerit bölmesi + yaylı itici takımı (market tipi);20;standart raf itici sistemi · şerit 82 · ürünü öne iter;marka seçilmedi [VARSAYIM] · çekmece başına 6 şerit
ÜRETİM;Ara sac perde 1,0;1;304 · Secop ile pano arasında;yoğuşturucu havası panoya gelmez
ÜRETİM;Avara kolu 3 mm;24;304 büküm · ön çerçevenin arkasına 2 × M4 perçin somun;kayış gergisi burada: 8 mm yuvalı
ÜRETİM;CEK K3 ic1 1 avara mili;1;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0
ÜRETİM;CEK K3 ic1 1 miknatis ayagi;1;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6
ÜRETİM;CEK K3 ic1 1 sensor lami;1;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0
ÜRETİM;CEK K3 ic1 2 avara mili;1;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0
ÜRETİM;CEK K3 ic1 2 miknatis ayagi;1;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6
ÜRETİM;CEK K3 ic1 2 sensor lami;1;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0
ÜRETİM;CEK K4 ic1d 1 avara mili;1;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0
ÜRETİM;CEK K4 ic1d 1 miknatis ayagi;1;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6
ÜRETİM;CEK K4 ic1d 1 sensor lami;1;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0
ÜRETİM;CEK K4 ic1d 2 avara mili;1;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0
ÜRETİM;CEK K4 ic1d 2 miknatis ayagi;1;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6
ÜRETİM;CEK K4 ic1d 2 sensor lami;1;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0
ÜRETİM;Evaporatör roll-bond levha;4;alüminyum 1,5 + kanal · ölçüye üretim;arka duvara yapışık · K1–K3 310 × 650 · K4 140 × 260
ÜRETİM;Kayış çenesi + kolu;24;304 · kutunun yan duvarına kaynaklı · dişli çene 2 × M3;kutunun arkasından kasnağa uzanır (strok için)
ÜRETİM;Motor braketi 3 mm;24;304 lazer + büküm · 4 × M3 (Ø31) + arka duvara 2 × M5;kasnak hizası buradan
ÜRETİM;PU köpük gövde;1;40 kg/m³ enjeksiyon · sac kabuk içine;yan 27,5 · tavan 57,5 · arka 37,5 · taban 39
ÜRETİM;Pano montaj plakası 2 mm;1;galvaniz;K4 · Secop'un arkasında
ÜRETİM;Plint ön sacı;1;304 1,5 · 60 geride;
ÜRETİM;Ray adaptör lamı 6 mm;48;304 lama · kutuya punta;ray iç profiline 4 × M4
ÜRETİM;Taban kademe sacı 1,0;1;304 · yalıtımlı tabanın K4 tarafındaki ucunu kapatır;v4: K4 sıcak bölmesi 40 mm alçak
ÜRETİM;Tavan dış sacı;1;304 1,5 · A ve C bunun üstüne oturur;
ÜRETİM;Tepsi · 20 çukur Ø100;8;gıda silikonu 10 mm · çukur 7 · kalıp döküm;530 × 520
ÜRETİM;Tepsi · 36 çukur Ø80;12;gıda silikonu 10 mm · çukur 7 · kalıp döküm;530 × 540
ÜRETİM;Yan dış sac 1,5;2;304 lazer + büküm · ön kenar kapak arkasında (z −40);
ÜRETİM;Yoğuşturucu bölmesi kapağı;1;304 1,5 · yalıtımsız · ızgaralı hava penceresi;hava önden girer, tabandan plinte çıkar
ÜRETİM;arka dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 934.0 × 1.5
ÜRETİM;arka ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 835.5 × 1.0
ÜRETİM;arka ic sac k4 alt;1;304 sac · lazer + büküm;zarf 442.5 × 40.0 × 1.0
ÜRETİM;avara mili;20;304 · lazer / lama;zarf 12.2 × 5.0 × 5.0
ÜRETİM;bolme 0 sac;2;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0
ÜRETİM;bolme 1 sac;2;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0
ÜRETİM;bolme 2 sac;2;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 734.0
ÜRETİM;k4 ara sac alt;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0
ÜRETİM;k4 ara sac ust;1;304 sac · lazer + büküm;zarf 400.0 × 1.0 × 734.0
ÜRETİM;k4 depo raf;1;304 sac · lazer + büküm;zarf 400.0 × 1.5 × 734.0
ÜRETİM;k4 izgara;12;304 lama;zarf 360.0 × 8.0 × 1.5
ÜRETİM;k4 kapak depo dis sac 1.5;1;304 sac · lazer + büküm;zarf 488.5 × 246.0 × 40.0
ÜRETİM;miknatis ayagi;20;304 · lazer / lama;zarf 6.3 × 2.3 × 28.6
ÜRETİM;sensor lami;20;304 · lazer / lama;zarf 6.3 × 2.0 × 705.0
ÜRETİM;taban dis sac;1;304 sac · lazer + büküm;zarf 2497.0 × 1.5 × 790.0
ÜRETİM;taban ic sac;1;304 sac · lazer + büküm;zarf 1996.5 × 1.0 × 748.5
ÜRETİM;taban on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 40.0 × 1.5
ÜRETİM;tavan ic sac;1;304 sac · lazer + büküm;zarf 2440.0 × 1.0 × 748.5
ÜRETİM;tavan on donus;1;304 sac · lazer + büküm;zarf 2440.0 × 58.5 × 1.5
ÜRETİM;yan ic sac;2;304 sac · lazer + büküm;zarf 1.0 × 835.5 × 748.5
ÜRETİM;yan on donus;2;304 sac · lazer + büküm;zarf 28.5 × 934.0 × 1.5
ÜRETİM;Çekmece kutusu U 1,0;24;304 lazer + 2 büküm;560 × 60 × 530
ÜRETİM;Çekmece önü 40 · kulpsuz · tam kaplama;24;dış 304 1,5 bükme + PU 37,5 köpük + iç 304 1,0 (fitil kanallı);698 × 146
ÜRETİM;Ön bağlantı köşesi;48;304 2 mm büküm · öne 2 × M5 perçin somun;ön yüz ayar yuvalı
ÜRETİM;Ön çerçeve sacı 1,0;1;304 lazer kesim · 27 açıklık;fitil buna basar
